type,detector,extractor,enhancer,metric,value
LLM,meta-llama,llama,llama,avg_detector_time,0.2536317241
LLM,meta-llama,llama,llama,avg_detector_acc,0.8620689655
LLM,meta-llama,llama,llama,avg_extractor_time,1.720979
LLM,meta-llama,llama,llama,avg_extractor_pre,0.733974359
LLM,meta-llama,llama,llama,avg_extractor_rec,0.8108974359
LLM,meta-llama,llama,llama,avg_extractor_f1,0.7629120879
LLM,meta-llama,llama,llama,enhancer_time,4.261552334
LLM,meta-llama,llama,llama,answer_similarity,0.866802436
LLM,meta-llama,llama,qwen,avg_detector_time,0.2403654034
LLM,meta-llama,llama,qwen,avg_detector_acc,0.8620689655
LLM,meta-llama,llama,qwen,avg_extractor_time,0.3145116462
LLM,meta-llama,llama,qwen,avg_extractor_pre,0.7467948718
LLM,meta-llama,llama,qwen,avg_extractor_rec,0.7916666667
LLM,meta-llama,llama,qwen,avg_extractor_f1,0.7629120879
LLM,meta-llama,llama,qwen,enhancer_time,9.252252731
LLM,meta-llama,llama,qwen,answer_similarity,0.819893806
LLM,meta-llama,llama,meta-llama,avg_detector_time,0.2045762414
LLM,meta-llama,llama,meta-llama,avg_detector_acc,0.8275862069
LLM,meta-llama,llama,meta-llama,avg_extractor_time,0.1785797231
LLM,meta-llama,llama,meta-llama,avg_extractor_pre,0.7493589744
LLM,meta-llama,llama,meta-llama,avg_extractor_rec,0.8108974359
LLM,meta-llama,llama,meta-llama,avg_extractor_f1,0.7675518926
LLM,meta-llama,llama,meta-llama,enhancer_time,1.142248886
LLM,meta-llama,llama,meta-llama,answer_similarity,0.8715391119
LLM,meta-llama,gpt,llama,avg_detector_time,0.2831619414
LLM,meta-llama,gpt,llama,avg_detector_acc,0.8620689655
LLM,meta-llama,gpt,llama,avg_extractor_time,0.2993229462
LLM,meta-llama,gpt,llama,avg_extractor_pre,0.7358974359
LLM,meta-llama,gpt,llama,avg_extractor_rec,0.7628205128
LLM,meta-llama,gpt,llama,avg_extractor_f1,0.737973138
LLM,meta-llama,gpt,llama,enhancer_time,2.606239366
LLM,meta-llama,gpt,llama,answer_similarity,0.8689201792
LLM,meta-llama,gpt,qwen,avg_detector_time,0.2385532138
LLM,meta-llama,gpt,qwen,avg_detector_acc,0.8620689655
LLM,meta-llama,gpt,qwen,avg_extractor_time,0.3319031154
LLM,meta-llama,gpt,qwen,avg_extractor_pre,0.8183150183
LLM,meta-llama,gpt,qwen,avg_extractor_rec,0.8397435897
LLM,meta-llama,gpt,qwen,avg_extractor_f1,0.8166278166
LLM,meta-llama,gpt,qwen,enhancer_time,8.639623445
LLM,meta-llama,gpt,qwen,answer_similarity,0.831578866
LLM,meta-llama,gpt,meta-llama,avg_detector_time,0.2057358172
LLM,meta-llama,gpt,meta-llama,avg_detector_acc,0.8620689655
LLM,meta-llama,gpt,meta-llama,avg_extractor_time,0.3316820692
LLM,meta-llama,gpt,meta-llama,avg_extractor_pre,0.841025641
LLM,meta-llama,gpt,meta-llama,avg_extractor_rec,0.8012820513
LLM,meta-llama,gpt,meta-llama,avg_extractor_f1,0.8051282051
LLM,meta-llama,gpt,meta-llama,enhancer_time,1.083523324
LLM,meta-llama,gpt,meta-llama,answer_similarity,0.8716428664
LLM,llama,llama,llama,avg_detector_time,0.9681432069
LLM,llama,llama,llama,avg_detector_acc,0.6551724138
LLM,llama,llama,llama,avg_extractor_time,5.155563708
LLM,llama,llama,llama,avg_extractor_pre,0.7596153846
LLM,llama,llama,llama,avg_extractor_rec,0.8108974359
LLM,llama,llama,llama,avg_extractor_f1,0.7782967033
LLM,llama,llama,llama,enhancer_time,5.252918503
LLM,llama,llama,llama,answer_similarity,0.8646444167
LLM,llama,llama,qwen,avg_detector_time,0.1911498241
LLM,llama,llama,qwen,avg_detector_acc,0.724137931
LLM,llama,llama,qwen,avg_extractor_time,0.1990116923
LLM,llama,llama,qwen,avg_extractor_pre,0.7980769231
LLM,llama,llama,qwen,avg_extractor_rec,0.8493589744
LLM,llama,llama,qwen,avg_extractor_f1,0.8167582418
LLM,llama,llama,qwen,enhancer_time,8.284000214
LLM,llama,llama,qwen,answer_similarity,0.8350480869
LLM,llama,llama,meta-llama,avg_detector_time,0.2355303966
LLM,llama,llama,meta-llama,avg_detector_acc,0.724137931
LLM,llama,llama,meta-llama,avg_extractor_time,0.4034458231
LLM,llama,llama,meta-llama,avg_extractor_pre,0.7698717949
LLM,llama,llama,meta-llama,avg_extractor_rec,0.8108974359
LLM,llama,llama,meta-llama,avg_extractor_f1,0.7851343101
LLM,llama,llama,meta-llama,enhancer_time,1.106079134
LLM,llama,llama,meta-llama,answer_similarity,0.8712511617
LLM,llama,gpt,llama,avg_detector_time,0.8430386724
LLM,llama,gpt,llama,avg_detector_acc,0.6896551724
LLM,llama,gpt,llama,avg_extractor_time,0.3239729769
LLM,llama,gpt,llama,avg_extractor_pre,0.8435897436
LLM,llama,gpt,llama,avg_extractor_rec,0.8974358974
LLM,llama,gpt,llama,avg_extractor_f1,0.8661782662
LLM,llama,gpt,llama,enhancer_time,4.976393721
LLM,llama,gpt,llama,answer_similarity,0.874724969
LLM,llama,gpt,qwen,avg_detector_time,0.2396207414
LLM,llama,gpt,qwen,avg_detector_acc,0.6551724138
LLM,llama,gpt,qwen,avg_extractor_time,0.2921959615
LLM,llama,gpt,qwen,avg_extractor_pre,0.7602564103
LLM,llama,gpt,qwen,avg_extractor_rec,0.8012820513
LLM,llama,gpt,qwen,avg_extractor_f1,0.7773504274
LLM,llama,gpt,qwen,enhancer_time,8.425997414
LLM,llama,gpt,qwen,answer_similarity,0.8330389128
LLM,llama,gpt,meta-llama,avg_detector_time,0.3171687862
LLM,llama,gpt,meta-llama,avg_detector_acc,0.7931034483
