type,embedder,reranker,detector,extractor,enhancer,metric,value
LLM,,,meta-llama,llama,llama,avg_detector_time,0.2536317241379508
LLM,,,meta-llama,llama,llama,avg_detector_acc,0.8620689655172413
LLM,,,meta-llama,llama,llama,avg_extractor_time,1.7209789999997156
LLM,,,meta-llama,llama,llama,avg_extractor_pre,0.733974358974359
LLM,,,meta-llama,llama,llama,avg_extractor_rec,0.8108974358974359
LLM,,,meta-llama,llama,llama,avg_extractor_f1,0.7629120879120878
LLM,,,meta-llama,llama,llama,enhancer_time,4.261552334482922
LLM,,,meta-llama,llama,llama,answer_similarity,0.866802436012011
LLM,,,meta-llama,llama,qwen,avg_detector_time,0.24036540344818133
LLM,,,meta-llama,llama,qwen,avg_detector_acc,0.8620689655172413
LLM,,,meta-llama,llama,qwen,avg_extractor_time,0.31451164615380267
LLM,,,meta-llama,llama,qwen,avg_extractor_pre,0.7467948717948717
LLM,,,meta-llama,llama,qwen,avg_extractor_rec,0.7916666666666666
LLM,,,meta-llama,llama,qwen,avg_extractor_f1,0.7629120879120879
LLM,,,meta-llama,llama,qwen,enhancer_time,9.252252731034378
LLM,,,meta-llama,llama,qwen,answer_similarity,0.8198938060433345
LLM,,,meta-llama,llama,meta-llama,avg_detector_time,0.20457624137929215
LLM,,,meta-llama,llama,meta-llama,avg_detector_acc,0.8275862068965517
LLM,,,meta-llama,llama,meta-llama,avg_extractor_time,0.17857972307669676
LLM,,,meta-llama,llama,meta-llama,avg_extractor_pre,0.7493589743589744
LLM,,,meta-llama,llama,meta-llama,avg_extractor_rec,0.8108974358974359
LLM,,,meta-llama,llama,meta-llama,avg_extractor_f1,0.7675518925518925
LLM,,,meta-llama,llama,meta-llama,enhancer_time,1.142248886206979
LLM,,,meta-llama,llama,meta-llama,answer_similarity,0.8715391118558216
LLM,,,meta-llama,gpt,llama,avg_detector_time,0.28316194137914863
LLM,,,meta-llama,gpt,llama,avg_detector_acc,0.8620689655172413
LLM,,,meta-llama,gpt,llama,avg_extractor_time,0.29932294615355204
LLM,,,meta-llama,gpt,llama,avg_extractor_pre,0.7358974358974358
LLM,,,meta-llama,gpt,llama,avg_extractor_rec,0.7628205128205129
LLM,,,meta-llama,gpt,llama,avg_extractor_f1,0.7379731379731381
LLM,,,meta-llama,gpt,llama,enhancer_time,2.6062393655172165
LLM,,,meta-llama,gpt,llama,answer_similarity,0.8689201791971982
LLM,,,meta-llama,gpt,qwen,avg_detector_time,0.2385532137931446
