type,embedder,reranker,detector,extractor,enhancer,metric,value
RAG,bge,,,,,embedding_time,0.6973725399933756
RAG,bge,minilm,,,,recall@k,0.5184
RAG,bge,minilm,,,,precision@k,0.8
RAG,bge,minilm,,,,mrr,0.693
RAG,bge,,,,,embedding_time,0.7014847400132567
RAG,bge,mixedbread,,,,recall@k,0.5184
RAG,bge,mixedbread,,,,precision@k,0.8842
RAG,bge,mixedbread,,,,mrr,0.7605
RAG,nomic,,,,,embedding_time,1.576320940000005
RAG,nomic,minilm,,,,recall@k,0.5079
RAG,nomic,minilm,,,,precision@k,0.7684
RAG,nomic,minilm,,,,mrr,0.6754
LLM,,,llama,gpt,meta-llama,avg_detector_time,0.2649427631557429
LLM,,,llama,gpt,meta-llama,avg_detector_acc,0.6842105263157895
LLM,,,llama,gpt,meta-llama,avg_extractor_time,0.4293856499934918
LLM,,,llama,gpt,meta-llama,avg_extractor_pre,0.825
LLM,,,llama,gpt,meta-llama,avg_extractor_rec,0.875
LLM,,,llama,gpt,meta-llama,avg_extractor_f1,0.8472222222222222
LLM,,,llama,gpt,meta-llama,enhancer_time,1.1506296999930208
LLM,,,llama,gpt,meta-llama,answer_similarity,0.8693862019326561
LLM,,,gpt,llama,meta-llama,avg_detector_time,0.16921127896057442
LLM,,,gpt,llama,meta-llama,avg_detector_acc,0.0
LLM,,,gpt,llama,meta-llama,avg_extractor_time,0.1601549624974723
LLM,,,gpt,llama,meta-llama,avg_extractor_pre,0.7552083333333334
LLM,,,gpt,llama,meta-llama,avg_extractor_rec,0.828125
LLM,,,gpt,llama,meta-llama,avg_extractor_f1,0.7730654761904762
LLM,,,gpt,llama,meta-llama,enhancer_time,0.9713909000090911
LLM,,,gpt,llama,meta-llama,answer_similarity,0.8667376917009939
LLM,,,gpt,gpt,meta-llama,avg_detector_time,0.140676326311414
LLM,,,gpt,gpt,meta-llama,avg_detector_acc,0.0
LLM,,,gpt,gpt,meta-llama,avg_extractor_time,0.3474857500041253
LLM,,,gpt,gpt,meta-llama,avg_extractor_pre,0.9020833333333333
LLM,,,gpt,gpt,meta-llama,avg_extractor_rec,0.96875
LLM,,,gpt,gpt,meta-llama,avg_extractor_f1,0.9298611111111111
LLM,,,gpt,gpt,meta-llama,enhancer_time,0.963840215791654
LLM,,,gpt,gpt,meta-llama,answer_similarity,0.8680239012114948
